Brand,Model,Range(km),Long_distance_range(km),Battery(kWh),Weight(kg),Seating_capacity,Car_segment,Acceleration_time(0-100 Kmph[in seconds]),Efficiency(Wh/km),Fastcharge_power(kW),Towing_capacity(kg),Cargo_volume(L),Price_per_range(€),Germany_Price(€),Range_per_kWh,Charging_km_per_min,Price_per_kWh,Price_Category
Mazda,6e 68.8 kWh,385.0,453.0,66.0,2.037,5.0,D,7.6,171.0,120.0,750.0,526.0,116.0,44900.0,5.83,42.11,680.3,Mid-range (€30k–€60k)
Audi,e-tron 55 quattro,365.0,384.0,86.5,2.565,5.0,E,5.7,237.0,146.0,750.0,660.0,212.0,81500.0,4.22,36.96,942.2,Premium (€60k–€90k)
Hyundai,Kona Electric 65 kWh,390.0,391.0,65.4,1.773,5.0,B,7.8,168.0,86.0,750.0,493.0,112.0,47190.0,5.96,30.71,721.56,Mid-range (€30k–€60k)
BMW,iX3 (MY22-24),385.0,411.0,74.0,2.255,5.0,D,6.8,192.0,104.0,750.0,510.0,184.0,67300.0,5.2,32.5,909.46,Premium (€60k–€90k)
BMW,iX1 xDrive30,380.0,407.0,64.7,2.085,5.0,C,5.6,170.0,93.0,750.0,490.0,148.0,55000.0,5.87,32.82,850.08,Mid-range (€30k–€60k)
Leapmotor,T03,225.0,212.0,36.0,1.25,4.0,A,12.7,160.0,30.0,750.0,210.0,82.0,18900.0,6.25,11.25,525.0,Budget (<€30k)
Tesla,Model 3 Standard Range Plus (PANA 2170L),350.0,421.0,51.0,1.7,5.0,D,5.6,146.0,105.0,750.0,649.0,136.0,45560.0,6.86,43.15,893.33,Mid-range (€30k–€60k)
Hyundai,IONIQ 5 84 kWh RWD (MY24),450.0,560.0,80.0,2.06,5.0,C,7.5,178.0,205.0,750.0,577.0,110.0,51650.0,5.62,69.1,645.62,Mid-range (€30k–€60k)
Volkswagen,e-Golf,190.0,178.0,32.0,1.615,5.0,C,9.6,168.0,39.0,750.0,341.0,172.0,31900.0,5.94,13.93,996.88,Mid-range (€30k–€60k)
Volkswagen,ID.4 Pro (MY24-25),445.0,490.0,77.0,2.144,5.0,C,6.7,173.0,120.0,750.0,543.0,108.0,46335.0,5.78,41.62,601.75,Mid-range (€30k–€60k)
BYD,SEAL 82.5 kWh AWD Excellence,445.0,472.0,82.5,2.26,5.0,D,3.8,185.0,100.0,750.0,453.0,122.0,52990.0,5.39,32.43,642.3,Mid-range (€30k–€60k)
Tesla,Model Y Long Range RWD,455.0,535.0,75.0,1.959,5.0,D,5.9,165.0,124.0,750.0,971.0,113.0,49970.0,6.07,45.09,666.27,Mid-range (€30k–€60k)
Kia,Niro EV,385.0,365.0,64.8,1.757,5.0,C,7.8,168.0,70.0,750.0,495.0,110.0,45690.0,5.94,25.0,705.09,Mid-range (€30k–€60k)
Renault,Twingo Electric,135.0,92.0,21.3,1.186,4.0,A,12.6,158.0,0.0,750.0,174.0,193.0,28000.0,6.34,0.0,1314.55,Budget (<€30k)
Tesla,Model 3 Long Range AWD,455.0,560.0,73.5,1.931,5.0,D,4.6,162.0,163.0,750.0,542.0,124.0,55480.0,6.19,60.37,754.83,Mid-range (€30k–€60k)
Mercedes-Benz,EQS 450+,685.0,731.0,118.0,2.545,5.0,F,6.2,172.0,160.0,750.0,620.0,173.0,109551.0,5.81,55.81,928.4,Luxury (€90k–€150k)
Zeekr,7X Performance AWD,475.0,614.0,94.0,2.535,5.0,D,3.8,198.0,260.0,750.0,581.0,135.0,44990.0,5.05,78.79,478.62,Mid-range (€30k–€60k)
Tesla,Model 3 Performance (Highland),490.0,585.0,75.0,1.929,5.0,D,3.4,153.0,124.0,750.0,682.0,126.0,58470.0,6.53,48.63,779.6,Mid-range (€30k–€60k)
Hyundai,INSTER Long Range,300.0,311.0,46.0,1.41,4.0,A,10.6,153.0,70.0,750.0,351.0,89.0,25400.0,6.52,27.45,552.17,Budget (<€30k)
Tesla,Model Y Performance (Juniper),460.0,535.0,79.0,2.108,5.0,D,3.8,172.0,120.0,750.0,971.0,143.0,62970.0,5.82,41.86,797.09,Premium (€60k–€90k)
Renault,Megane E-Tech EV60 220hp,380.0,410.0,60.0,1.711,5.0,C,7.4,158.0,87.0,900.0,440.0,117.0,46600.0,6.33,33.04,776.67,Mid-range (€30k–€60k)
Renault,Zoe ZE50 R110,315.0,274.0,52.0,1.577,5.0,B,11.4,165.0,41.0,750.0,338.0,111.0,36840.0,6.06,14.91,708.46,Mid-range (€30k–€60k)
MG,MGS5  EV 64 kWh,365.0,387.0,62.1,1.755,5.0,C,6.3,170.0,90.0,750.0,453.0,108.0,42990.0,5.88,31.76,692.27,Mid-range (€30k–€60k)
Fiat,Grande Panda,260.0,270.0,43.8,1.511,5.0,B,11.0,168.0,60.0,550.0,361.0,96.0,24990.0,5.94,21.43,570.55,Budget (<€30k)
Tesla,Model 3 Long Range AWD (Highland),525.0,629.0,75.0,1.899,5.0,D,4.4,143.0,124.0,750.0,682.0,101.0,49990.0,7.0,52.03,666.53,Mid-range (€30k–€60k)
BYD,DOLPHIN 60.4 kWh (MY24),350.0,338.0,60.5,1.733,5.0,C,7.0,173.0,65.0,750.0,345.0,100.0,32990.0,5.79,22.54,545.29,Mid-range (€30k–€60k)
Mercedes-Benz,EQB 250+,415.0,414.0,70.5,2.105,7.0,C,8.9,170.0,90.0,750.0,495.0,133.0,53514.0,5.89,31.76,759.06,Mid-range (€30k–€60k)
Tesla,Model S Plaid,560.0,636.0,95.0,2.265,5.0,F,2.4,170.0,140.0,750.0,798.0,212.0,120970.0,5.89,49.41,1273.37,Luxury (€90k–€150k)
BMW,i4 eDrive40,515.0,584.0,80.7,2.125,5.0,D,5.7,157.0,131.0,750.0,470.0,122.0,59200.0,6.38,50.06,733.58,Mid-range (€30k–€60k)
BMW,i3 120 Ah,235.0,222.0,37.9,1.345,4.0,B,7.3,161.0,47.0,750.0,260.0,167.0,39000.0,6.2,17.52,1029.02,Mid-range (€30k–€60k)
Hyundai,Kona Electric 64 kWh,390.0,363.0,64.0,1.76,5.0,B,7.9,164.0,64.0,300.0,332.0,110.0,42900.0,6.09,23.41,670.31,Mid-range (€30k–€60k)
Ford,Explorer Extended Range RWD,435.0,452.0,77.0,2.09,5.0,C,6.4,177.0,120.0,750.0,536.0,112.0,48510.0,5.65,40.68,630.0,Mid-range (€30k–€60k)
Mercedes-Benz,EQC 400 4MATIC,370.0,366.0,80.0,2.495,5.0,D,5.1,216.0,100.0,750.0,500.0,202.0,66069.0,4.62,27.78,825.86,Premium (€60k–€90k)
Zeekr,7X Long Range RWD,490.0,630.0,94.0,2.415,5.0,D,6.0,192.0,260.0,750.0,605.0,116.0,44990.0,5.21,81.25,478.62,Mid-range (€30k–€60k)
BYD,DOLPHIN SURF 43.2 kWh Comfort,265.0,275.0,43.2,1.465,4.0,B,9.1,163.0,60.0,750.0,308.0,107.0,30990.0,6.13,22.09,717.36,Mid-range (€30k–€60k)
Changan,Deepal S05 RWD,385.0,448.0,68.0,2.015,5.0,C,7.5,177.0,130.0,750.0,651.0,101.0,38990.0,5.66,44.07,573.38,Mid-range (€30k–€60k)
MG,ZS EV Long Range,370.0,352.0,68.3,1.695,5.0,B,8.4,185.0,82.0,500.0,448.0,105.0,37990.0,5.42,26.59,556.22,Mid-range (€30k–€60k)
Toyota,bZ4X FWD (MY22-24),350.0,384.0,64.0,1.97,5.0,C,7.5,183.0,100.0,750.0,452.0,125.0,42900.0,5.47,32.79,670.31,Mid-range (€30k–€60k)
Mercedes-Benz,CLA 350 4MATIC,575.0,746.0,85.0,2.135,5.0,D,4.9,148.0,235.0,750.0,506.0,105.0,60381.0,6.76,95.27,710.36,Premium (€60k–€90k)
BYD,TANG Flagship,460.0,444.0,108.8,2.705,7.0,E,4.9,237.0,100.0,750.0,235.0,149.0,69615.0,4.23,25.32,639.84,Premium (€60k–€90k)
Kia,EV3 Standard Range,325.0,341.0,55.0,1.8,5.0,B,7.5,169.0,80.0,500.0,485.0,114.0,35990.0,5.91,28.4,654.36,Mid-range (€30k–€60k)
Ford,Puma Gen-E,275.0,312.0,43.6,1.563,5.0,B,8.0,159.0,85.0,750.0,566.0,124.0,36900.0,6.31,32.08,846.33,Mid-range (€30k–€60k)
Mini,Countryman E,380.0,405.0,64.6,1.94,5.0,C,8.6,170.0,93.0,750.0,460.0,117.0,43500.0,5.88,32.82,673.37,Mid-range (€30k–€60k)
XPENG,G6 RWD Long Range (MY25),435.0,559.0,80.0,2.19,5.0,D,6.7,184.0,290.0,750.0,571.0,111.0,47600.0,5.44,94.57,595.0,Mid-range (€30k–€60k)
Tesla,Model 3 Long Range AWD,485.0,577.0,75.0,1.919,5.0,D,4.4,155.0,124.0,750.0,649.0,112.0,53668.0,6.47,48.0,715.57,Mid-range (€30k–€60k)
Škoda,Elroq 60 (MY25),350.0,405.0,59.0,1.975,5.0,C,8.5,169.0,110.0,750.0,470.0,108.0,38680.0,5.93,39.05,655.59,Mid-range (€30k–€60k)
Geely,EX5,330.0,365.0,60.2,1.815,5.0,C,6.9,182.0,95.0,750.0,461.0,111.0,44990.0,5.48,31.32,747.34,Mid-range (€30k–€60k)
Dongfeng,Box 42.3 kWh,255.0,254.0,40.0,1.43,5.0,B,12.5,157.0,51.0,750.0,326.0,96.0,44990.0,6.38,19.49,1124.75,Mid-range (€30k–€60k)
MG,IM5 Long Range,530.0,677.0,96.5,2.21,5.0,D,4.9,182.0,250.0,750.0,475.0,98.0,44990.0,5.49,82.42,466.22,Mid-range (€30k–€60k)
Tesla,Model Y RWD (CATL LFP),345.0,409.0,57.0,1.984,5.0,D,6.9,165.0,108.0,750.0,971.0,139.0,45970.0,6.05,39.27,806.49,Mid-range (€30k–€60k)
BYD,ATTO 3 (MY25),340.0,348.0,60.5,1.825,5.0,C,7.3,178.0,75.0,750.0,440.0,121.0,38990.0,5.62,25.28,644.46,Mid-range (€30k–€60k)
Tesla,Model 3 Long Range AWD,465.0,534.0,72.0,1.919,5.0,D,4.4,155.0,108.0,750.0,649.0,121.0,53560.0,6.46,41.81,743.89,Mid-range (€30k–€60k)
Audi,Q4 e-tron 40,405.0,430.0,76.6,2.125,5.0,C,8.5,189.0,125.0,750.0,520.0,140.0,51900.0,5.29,39.68,677.55,Mid-range (€30k–€60k)
Kia,EV6 Long Range 2WD,410.0,514.0,74.0,1.985,5.0,C,7.3,180.0,200.0,750.0,532.0,126.0,51990.0,5.54,66.67,702.57,Mid-range (€30k–€60k)
Renault,Scenic E-Tech EV87 220hp (TU2025),480.0,481.0,87.0,1.917,5.0,C,7.9,181.0,95.0,750.0,545.0,93.0,47900.0,5.52,31.49,550.57,Mid-range (€30k–€60k)
Tesla,Model 3 RWD (Highland CATL LFP60),420.0,495.0,57.0,1.836,5.0,D,6.1,136.0,108.0,750.0,682.0,101.0,40970.0,7.37,47.65,718.77,Mid-range (€30k–€60k)
Kia,EV6 Long Range AWD,440.0,549.0,80.0,2.16,5.0,C,5.2,182.0,205.0,750.0,510.0,128.0,53990.0,5.5,67.58,674.88,Mid-range (€30k–€60k)
Hyundai,IONIQ 6 Long Range 2WD,495.0,637.0,74.0,1.985,5.0,D,7.4,149.0,200.0,750.0,446.0,107.0,54000.0,6.69,80.54,729.73,Mid-range (€30k–€60k)
Kia,EV5 81.4 kWh (MY26),400.0,421.0,78.0,2.069,5.0,C,8.4,195.0,115.0,750.0,566.0,113.0,45990.0,5.13,35.38,589.62,Mid-range (€30k–€60k)
Citroën,ë-C3 Comfort Range 44 kWh,255.0,270.0,43.8,1.491,5.0,B,11.5,172.0,60.0,550.0,310.0,94.0,23300.0,5.82,20.93,531.96,Budget (<€30k)
Tesla,Model 3 Long Range AWD (Highland),555.0,654.0,79.0,1.899,5.0,D,4.4,142.0,120.0,750.0,682.0,96.0,50970.0,7.03,50.7,645.19,Mid-range (€30k–€60k)
Mercedes-Benz,EQA 250,395.0,405.0,66.5,2.045,5.0,C,8.6,168.0,100.0,750.0,340.0,129.0,50777.0,5.94,35.71,763.56,Mid-range (€30k–€60k)
Audi,Q4 e-tron 45,420.0,460.0,77.0,2.145,5.0,C,6.7,183.0,120.0,750.0,520.0,129.0,52950.0,5.45,39.34,687.66,Mid-range (€30k–€60k)
Škoda,Enyaq iV 80 (MY21-23),440.0,468.0,77.0,2.075,5.0,C,8.6,175.0,125.0,750.0,585.0,112.0,48900.0,5.71,42.86,635.06,Mid-range (€30k–€60k)
Volkswagen,ID.7 Pro (MY24-25),475.0,541.0,77.0,2.172,5.0,E,6.5,162.0,125.0,750.0,532.0,114.0,53995.0,6.17,46.3,701.23,Mid-range (€30k–€60k)
Lucid,Air Grand Touring (MY25-26),720.0,836.0,117.0,2.435,5.0,F,3.2,163.0,190.0,750.0,910.0,184.0,130900.0,6.15,69.94,1118.8,Luxury (€90k–€150k)
BMW,iX1 eDrive20,390.0,418.0,64.7,1.94,5.0,C,8.3,166.0,93.0,750.0,490.0,129.0,47900.0,6.03,33.61,740.34,Mid-range (€30k–€60k)
Polestar,5 Dual Motor,580.0,698.0,106.0,2.462,4.0,F,3.9,183.0,210.0,750.0,427.0,197.0,118600.0,5.47,68.85,1118.87,Luxury (€90k–€150k)
TOGG,T10F Long Range RWD,490.0,531.0,85.0,2.154,5.0,D,7.5,173.0,115.0,750.0,505.0,82.0,40118.0,5.76,39.88,471.98,Mid-range (€30k–€60k)
Lynk&Co,02,370.0,399.0,65.0,1.82,5.0,C,5.5,176.0,90.0,750.0,425.0,95.0,35995.0,5.69,30.68,553.77,Mid-range (€30k–€60k)
Kia,PV5 Passenger 71.2 kWh (MY26),315.0,328.0,67.0,2.145,5.0,N,10.6,213.0,75.0,750.0,385.0,137.0,42290.0,4.7,21.13,631.19,Mid-range (€30k–€60k)
MG,MG4 Electric 51 kWh,300.0,306.0,50.8,1.71,5.0,C,7.7,169.0,68.0,500.0,363.0,109.0,34990.0,5.91,24.14,688.78,Mid-range (€30k–€60k)
MG,MG5 Electric Long Range,335.0,325.0,57.4,1.637,5.0,C,7.7,171.0,60.0,500.0,479.0,113.0,38490.0,5.84,21.05,670.56,Mid-range (€30k–€60k)
KGM,Torres EVX (MY24-25),370.0,368.0,72.0,1.979,5.0,C,8.1,195.0,85.0,750.0,839.0,113.0,41990.0,5.14,26.15,583.19,Mid-range (€30k–€60k)
Omoda,E5,330.0,350.0,58.9,1.785,5.0,C,7.6,178.0,80.0,750.0,380.0,115.0,44990.0,5.6,26.97,763.84,Mid-range (€30k–€60k)
Hyundai,IONIQ Electric,250.0,230.0,38.3,1.602,5.0,C,9.7,153.0,36.0,750.0,357.0,146.0,35350.0,6.53,14.12,922.98,Mid-range (€30k–€60k)
Tesla,Model S Dual Motor,575.0,653.0,95.0,2.17,5.0,F,3.2,165.0,140.0,750.0,798.0,185.0,110970.0,6.05,50.91,1168.11,Luxury (€90k–€150k)
Tesla,Model 3 Long Range AWD,490.0,584.0,76.0,1.919,5.0,D,4.4,155.0,135.0,750.0,649.0,117.0,55260.0,6.45,52.26,727.11,Mid-range (€30k–€60k)
Škoda,Enyaq 85 (MY25),455.0,477.0,77.0,2.141,5.0,C,6.7,169.0,120.0,750.0,585.0,106.0,48900.0,5.91,42.6,635.06,Mid-range (€30k–€60k)
BMW,iX xDrive50,505.0,538.0,105.2,2.585,5.0,E,4.6,208.0,149.0,750.0,500.0,213.0,100100.0,4.8,42.98,951.52,Luxury (€90k–€150k)
Volkswagen,ID.4 Pro Performance,410.0,436.0,77.0,2.109,5.0,C,8.5,188.0,125.0,750.0,543.0,124.0,46335.0,5.32,39.89,601.75,Mid-range (€30k–€60k)
firefly,firefly,240.0,256.0,41.2,1.542,5.0,B,8.1,172.0,65.0,750.0,496.0,125.0,44990.0,5.83,22.67,1091.99,Mid-range (€30k–€60k)
Tesla,Model 3 Performance,470.0,555.0,76.0,1.919,5.0,D,3.6,162.0,135.0,750.0,649.0,137.0,59560.0,6.18,50.0,783.68,Mid-range (€30k–€60k)
Kia,e-Niro 64 kWh,375.0,349.0,64.0,1.812,5.0,C,7.8,171.0,64.0,300.0,451.0,108.0,42790.0,5.86,22.46,668.59,Mid-range (€30k–€60k)
Renault,4 E-Tech 52kWh 150hp,315.0,326.0,52.0,1.537,5.0,B,8.2,165.0,70.0,750.0,420.0,100.0,32400.0,6.06,25.45,623.08,Mid-range (€30k–€60k)
Leapmotor,C10 AWD 81.9 kWh,380.0,405.0,81.9,2.264,5.0,D,4.0,216.0,120.0,750.0,435.0,118.0,44900.0,4.64,33.33,548.23,Mid-range (€30k–€60k)
Tesla,Model 3 RWD (CATL LFP60),400.0,468.0,57.0,1.835,5.0,D,6.1,143.0,100.0,750.0,649.0,114.0,44668.0,7.02,41.96,783.65,Mid-range (€30k–€60k)
Mini,Cooper SE,180.0,183.0,28.9,1.44,4.0,B,7.3,161.0,44.0,750.0,211.0,207.0,35700.0,6.23,16.4,1235.29,Mid-range (€30k–€60k)
Dacia,Spring Electric 45,165.0,151.0,25.0,1.009,4.0,A,19.1,152.0,29.0,750.0,343.0,107.0,16900.0,6.6,11.45,676.0,Budget (<€30k)
Nissan,Ariya 87kWh,450.0,445.0,87.0,2.121,5.0,C,7.6,193.0,110.0,750.0,468.0,103.0,53490.0,5.17,34.2,614.83,Mid-range (€30k–€60k)
Citroën,C5 Aircross Long Range,485.0,492.0,96.9,2.246,5.0,C,8.8,200.0,130.0,750.0,565.0,85.0,44990.0,5.01,39.0,464.29,Mid-range (€30k–€60k)
Nissan,LEAF Extended Range 75 kWh (MY26),455.0,484.0,75.0,1.981,5.0,C,7.6,165.0,100.0,975.0,437.0,93.0,42000.0,6.07,36.36,560.0,Mid-range (€30k–€60k)
Peugeot,e-2008 54 kWh,300.0,324.0,50.8,1.623,5.0,B,9.1,169.0,85.0,750.0,434.0,129.0,40550.0,5.91,30.18,798.23,Mid-range (€30k–€60k)
Citroën,ë-C4,290.0,318.0,46.3,1.636,5.0,C,9.7,160.0,78.0,750.0,380.0,125.0,34875.0,6.26,29.25,753.24,Mid-range (€30k–€60k)
KGM,Torres EVX 80.6 kWh (MY26),400.0,403.0,79.0,2.0,5.0,C,8.2,198.0,95.0,750.0,839.0,103.0,44990.0,5.06,28.79,569.49,Mid-range (€30k–€60k)
BYD,SEAL 82.5 kWh RWD Design,480.0,507.0,82.5,2.13,5.0,D,5.9,172.0,100.0,750.0,453.0,104.0,48990.0,5.82,34.88,593.82,Mid-range (€30k–€60k)
BYD,SEAL U 87 kWh Design,425.0,418.0,87.0,2.222,5.0,D,9.6,205.0,85.0,750.0,552.0,107.0,44990.0,4.89,24.88,517.13,Mid-range (€30k–€60k)
Audi,A6 Avant e-tron performance,575.0,699.0,94.9,2.26,5.0,E,5.4,165.0,200.0,750.0,529.0,138.0,77250.0,6.06,72.73,814.01,Premium (€60k–€90k)
Hyundai,Kona Electric 64 kWh,390.0,363.0,64.0,1.76,5.0,B,7.9,164.0,64.0,750.0,361.0,110.0,41850.0,6.09,23.41,653.91,Mid-range (€30k–€60k)
Hyundai,IONIQ 5 63 kWh RWD (MY24),345.0,423.0,60.0,1.955,5.0,C,8.5,174.0,150.0,750.0,577.0,128.0,43900.0,5.75,51.72,731.67,Mid-range (€30k–€60k)
BYD,SEAL U 71.8 kWh Comfort,360.0,352.0,71.8,2.095,5.0,D,9.3,199.0,72.0,750.0,552.0,118.0,41990.0,5.01,21.71,584.82,Mid-range (€30k–€60k)
XPENG,G6 RWD Long Range (MY24),480.0,574.0,87.5,2.1,5.0,D,6.7,182.0,180.0,750.0,571.0,104.0,47600.0,5.49,59.34,544.0,Mid-range (€30k–€60k)
BMW,i5 eDrive40 Sedan,470.0,535.0,81.2,2.205,5.0,E,6.0,173.0,136.0,750.0,490.0,166.0,70200.0,5.79,47.17,864.53,Premium (€60k–€90k)
Tesla,Model S 75D,380.0,386.0,72.5,2.183,5.0,F,4.4,191.0,80.0,750.0,804.0,216.0,71019.0,5.24,25.13,979.57,Premium (€60k–€90k)
Volkswagen,ID.3 Pro S (MY26),475.0,536.0,79.0,1.957,5.0,C,7.1,166.0,135.0,750.0,385.0,88.0,44025.0,6.01,48.8,557.28,Mid-range (€30k–€60k)
Mercedes-Benz,CLA 200,400.0,493.0,58.0,2.045,5.0,D,7.5,145.0,125.0,750.0,506.0,124.0,49421.0,6.9,51.72,852.09,Mid-range (€30k–€60k)
Mercedes-Benz,G 580,395.0,394.0,116.0,3.085,5.0,F,4.7,294.0,150.0,750.0,555.0,465.0,142622.0,3.41,30.61,1229.5,Luxury (€90k–€150k)
Audi,e-tron 50 quattro,280.0,299.0,64.7,2.445,5.0,E,6.8,231.0,114.0,750.0,660.0,240.0,69100.0,4.33,29.61,1068.01,Premium (€60k–€90k)
Škoda,Enyaq 85 (MY24),450.0,467.0,77.0,2.137,5.0,C,6.7,171.0,120.0,750.0,585.0,112.0,48900.0,5.84,42.11,635.06,Mid-range (€30k–€60k)
Rolls-Royce,Spectre,465.0,494.0,102.0,2.965,4.0,F,4.5,219.0,126.0,750.0,380.0,828.0,379015.0,4.56,34.52,3715.83,Ultra-Luxury (>€150k)
BMW,i7 xDrive60,510.0,564.0,101.7,2.715,5.0,F,4.7,199.0,159.0,750.0,500.0,272.0,139900.0,5.01,47.94,1375.61,Luxury (€90k–€150k)
BMW,i4 eDrive40,525.0,595.0,81.3,2.12,5.0,D,5.6,155.0,130.0,750.0,470.0,123.0,60600.0,6.46,50.32,745.39,Premium (€60k–€90k)
Volkswagen,ID.4 Pro (MY26),445.0,490.0,77.0,2.139,5.0,C,6.7,173.0,120.0,750.0,543.0,99.0,46335.0,5.78,41.62,601.75,Mid-range (€30k–€60k)
